Size,Time
10000,3528100
20000,4243800
30000,4235800
40000,5740300
50000,7619300
60000,5931000
70000,6944800
80000,8005400
90000,9079000
100000,10066600
110000,11134500
120000,13714700
130000,13754900
140000,15204800
150000,15955100
160000,16917300
170000,18157100
180000,19570600
190000,20737900
200000,21907800
210000,23219600
220000,23954700
230000,32357900
240000,26508700
250000,29389300
260000,29953700
270000,30082400
280000,31100900
290000,32075500
300000,32733800
310000,34958600
320000,40810000
330000,37105600
340000,38373600
350000,41820200
360000,44846800
370000,44852500
380000,43362500
390000,54008700
400000,45992300
410000,51542500
420000,49199200
430000,64624800
440000,90191100
450000,55106400
460000,57473800
470000,52574200
480000,54499300
490000,55552600
500000,67367200
510000,76617100
520000,61078600
530000,61364100
540000,62053800
550000,67707200
560000,64202600
570000,65469400
580000,67147200
590000,68731900
600000,70387600
610000,75718400
620000,79066500
630000,73563400
640000,74927200
650000,76001600
660000,78987100
670000,78746700
680000,78374400
690000,81246800
700000,83075800
710000,84548300
720000,84511000
730000,86456900
740000,90463300
750000,92353900
760000,88897200
770000,92800100
780000,92080600
790000,96966400
800000,94971900
810000,96397300
820000,98501800
830000,98916800
840000,106511200
850000,100473900
860000,101544600
870000,124521100
880000,106140200
890000,107924600
900000,107966600
910000,109305600
920000,109535500
930000,118992800
940000,118066300
950000,118070900
960000,132233500
970000,128770600
980000,128102700
990000,128728600
1000000,125008800
