Size,Time
10000,856600
20000,1756300
30000,2714600
40000,3692200
50000,4622900
60000,5787600
70000,7383600
80000,7708600
90000,9021400
100000,9684000
110000,10975700
120000,12026200
130000,13195600
140000,14130900
150000,16519000
160000,16688500
170000,17609700
180000,18581100
190000,19916500
200000,20929600
210000,22611000
220000,23182100
230000,24786600
240000,25000200
250000,26637200
260000,27833700
270000,29387200
280000,29622300
290000,30909800
300000,32559000
310000,33359000
320000,35091700
330000,35742400
340000,36756300
350000,41270200
360000,44111100
370000,41658100
380000,42048400
390000,42952400
400000,44172600
410000,45962000
420000,47602700
430000,47526200
440000,98426600
450000,71128800
460000,60999800
470000,53615200
480000,56068700
490000,56763800
500000,59274200
510000,61535100
520000,58436000
530000,63348600
540000,65563100
550000,65051900
560000,64919400
570000,66087300
580000,65515000
590000,67622800
600000,75692800
610000,71721700
620000,71622500
630000,71285000
640000,73489900
650000,74431300
660000,91578900
670000,78101200
680000,78314500
690000,79141800
700000,80557900
710000,82644800
720000,83269100
730000,90008600
740000,85708600
750000,85766900
760000,88299800
770000,88435100
780000,97819900
790000,90564200
800000,92212900
810000,95414500
820000,97963000
830000,96858600
840000,101555600
850000,99621600
860000,98680100
870000,104731000
880000,112654600
890000,128786900
900000,107681800
910000,108479300
920000,107981200
930000,127200500
940000,110721400
950000,114248000
960000,112481200
970000,114479800
980000,116736600
990000,266187900
1000000,540017400
