Size,Time
10000,19737700
20000,30909900
30000,30312800
40000,37462500
50000,54203300
60000,56877000
70000,61320100
80000,64481400
90000,75994600
100000,84929000
110000,98205100
120000,108699500
130000,130734700
140000,132697500
150000,132906200
160000,230956100
170000,227133100
180000,68914500
190000,18178900
200000,18670700
210000,24622400
220000,28610500
230000,30300700
240000,31304900
250000,30415700
260000,23624900
270000,25257600
280000,26568900
290000,27725900
300000,28933800
310000,30203900
320000,30854600
330000,32699300
340000,30896100
350000,32257500
360000,33569600
370000,35918300
380000,38698200
390000,35947800
400000,43794800
410000,37632100
420000,41067400
430000,41026600
440000,41616300
450000,46304000
460000,54644000
470000,46157700
480000,45169200
490000,46472300
500000,48067700
510000,48724600
520000,49525200
530000,49628600
540000,52942700
550000,54314600
560000,59659600
570000,64104600
580000,55752900
590000,57687200
600000,58339500
610000,65044900
620000,62016600
630000,63967400
640000,74982100
650000,63062900
660000,64465200
670000,66190000
680000,66752400
690000,68747300
700000,68765000
710000,67539800
720000,71891600
730000,76508900
740000,73866800
750000,72217700
760000,76357500
770000,74323800
780000,89210800
790000,77614900
800000,80347000
810000,81687300
820000,82765300
830000,82360600
840000,83391600
850000,85122100
860000,85097800
870000,84308100
880000,94646300
890000,92378900
900000,89345900
910000,89659200
920000,92407300
930000,92570600
940000,95180000
950000,93600700
960000,96932000
970000,98278900
980000,99613600
990000,100071100
1000000,101604200
