Size,Time
500,227500
1000,934800
1500,2091400
2000,2388300
2500,2519700
3000,3641100
3500,4965400
4000,6504100
4500,8902600
5000,10292000
5500,12515900
6000,15845800
6500,17226100
7000,20526500
7500,22924900
8000,26468900
8500,29888700
9000,33236000
9500,36859200
10000,40842100
10500,45589600
11000,50294200
11500,54033300
12000,59019100
12500,93831600
13000,74970600
13500,91412300
14000,90037400
14500,86433000
15000,92829100
15500,123773800
16000,110105600
16500,115662100
17000,128131700
17500,141393100
18000,144836500
18500,142280500
19000,150016400
19500,156344400
20000,164823000
20500,184579700
21000,182131100
21500,213162000
22000,207476900
22500,209597100
23000,229220400
23500,228455900
24000,257401700
24500,247466400
25000,270083300
25500,271463600
26000,279073600
26500,289453700
27000,317956700
27500,312893600
28000,325474700
28500,363490300
29000,392536600
29500,398434800
30000,446914200
30500,469673500
31000,439153300
31500,463758300
32000,430028200
32500,436716000
33000,463521500
33500,496213900
34000,503479400
34500,536381900
35000,545260000
35500,574529600
36000,565552200
36500,559187400
37000,580683800
37500,664430200
38000,638694600
38500,678876800
39000,668922800
39500,712478000
40000,797973900
40500,731156800
41000,735218000
41500,748562900
42000,746956400
42500,777645500
43000,802289200
43500,802368100
44000,1169224200
44500,1433082300
45000,1250609700
45500,1280621400
46000,1300826300
46500,991775200
47000,1031089000
47500,1387494300
48000,1251207200
48500,1332612500
49000,1117051400
49500,1473647300
50000,1134448900
