Size,Time
500,2599200
1000,4079000
1500,2459100
2000,563500
2500,789600
3000,1144100
3500,1442100
4000,1854500
4500,2339100
5000,2874200
5500,3554600
6000,4077700
6500,4997900
7000,5862600
7500,6643400
8000,7603500
8500,8739700
9000,9755000
9500,11314300
10000,14629200
10500,13139100
11000,16103700
11500,18396700
12000,17147400
12500,18849500
13000,21500500
13500,26688700
14000,27272500
14500,35784200
15000,38285200
15500,30812600
16000,31509800
16500,34118300
17000,36424100
17500,38668500
18000,45074700
18500,44416000
19000,53558800
19500,51236100
20000,51977900
20500,56448200
21000,63113700
21500,62210300
22000,66704600
22500,72050500
23000,89678400
23500,80947800
24000,79279500
24500,101196400
25000,87965100
25500,94369200
26000,101033700
26500,101932800
27000,102160400
27500,99486900
28000,92455600
28500,107830400
29000,119491600
29500,116368400
30000,106782400
30500,110756400
31000,117734500
31500,118191000
32000,125060900
32500,125034600
33000,127402200
33500,146040800
34000,166020200
34500,168654800
35000,172902300
35500,174503800
36000,172608800
36500,165465900
37000,165866400
37500,169199900
38000,172147400
38500,214124700
39000,211381300
39500,223302400
40000,217080200
40500,225451200
41000,230029000
41500,216884200
42000,237064000
42500,278246100
43000,273772100
43500,252731800
44000,233474600
44500,234640500
45000,243663600
45500,259374200
46000,279739400
46500,272020900
47000,265404200
47500,275775600
48000,277938100
48500,279752400
49000,296500900
49500,305373000
50000,300066500
