Size,Time
500,9600
1000,14100
1500,22900
2000,25500
2500,35800
3000,42200
3500,46500
4000,51200
4500,60700
5000,70500
5500,83300
6000,90200
6500,96900
7000,96600
7500,99600
8000,106400
8500,114200
9000,126100
9500,133500
10000,140900
10500,145900
11000,152300
11500,159900
12000,169000
12500,173800
13000,176700
13500,185100
14000,185500
14500,191600
15000,363100
15500,246300
16000,510200
16500,254200
17000,238200
17500,251100
18000,253000
18500,260500
19000,268900
19500,276900
20000,286600
20500,291600
21000,309300
21500,333000
22000,331400
22500,341300
23000,349200
23500,359000
24000,369400
24500,376800
25000,386800
25500,388000
26000,389400
26500,395900
27000,409800
27500,404500
28000,408600
28500,407600
29000,408500
29500,424300
30000,434800
30500,438200
31000,444300
31500,450600
32000,458100
32500,462900
33000,470200
33500,483200
34000,496100
34500,502000
35000,722700
35500,730700
36000,547500
36500,547900
37000,544800
37500,559500
38000,571400
38500,582300
39000,589800
39500,597900
40000,597800
40500,612900
41000,605100
41500,622100
42000,625100
42500,639000
43000,646800
43500,648000
44000,655400
44500,668300
45000,675400
45500,684400
46000,686200
46500,694500
47000,994300
47500,703000
48000,736300
48500,726100
49000,734000
49500,745500
50000,748700
