Size,Time
500,37800
1000,100800
1500,203500
2000,347900
2500,513000
3000,724600
3500,962000
4000,1237800
4500,1557700
5000,1913600
5500,2649200
6000,2715400
6500,3216500
7000,3716600
7500,4252100
8000,5248200
8500,5362300
9000,6001500
9500,6974900
10000,7457900
10500,11618000
11000,8912300
11500,36751400
12000,34114800
12500,30496200
13000,36679300
13500,22694500
14000,34145400
14500,29148700
15000,56918600
15500,32844200
16000,42616300
16500,23934800
17000,23476400
17500,22476700
18000,24562700
18500,30370000
19000,35594600
19500,34607500
20000,30515100
20500,33094600
21000,43796900
21500,54496500
22000,79084200
22500,43294700
23000,63441400
23500,41162600
24000,55381500
24500,98712900
25000,47665900
25500,107096300
26000,85061000
26500,80239300
27000,118879600
27500,159485400
28000,200733000
28500,165140000
29000,212654600
29500,81886500
30000,67582400
30500,70533200
31000,71046600
31500,74212700
32000,76091500
32500,78767300
33000,90599200
33500,89664200
34000,96968000
34500,91603100
35000,102320800
35500,110544300
36000,107021000
36500,104685300
37000,102243800
37500,104183400
38000,119603600
38500,113869800
39000,117786900
39500,115851600
40000,158972800
40500,212719300
41000,157122800
41500,145098700
42000,284378400
42500,241000100
43000,306427400
43500,388425300
44000,587106300
44500,676035800
45000,545509600
45500,177916800
46000,234430000
46500,345273500
47000,168476800
47500,184569000
48000,210010900
48500,187062600
49000,236874900
49500,233933400
50000,220244800
