Size,Time
500,67400
1000,104400
1500,204800
2000,341800
2500,545900
3000,727600
3500,983100
4000,1288500
4500,1572300
5000,1917200
5500,2292100
6000,2715200
6500,3175400
7000,3682300
7500,4217300
8000,4762500
8500,5369200
9000,6011600
9500,6690100
10000,7416700
10500,9234300
11000,8918500
11500,9776400
12000,10963500
12500,11913600
13000,12410000
13500,13343700
14000,14564400
14500,15346500
15000,16531600
15500,17505500
16000,18678100
16500,21925000
17000,24814700
17500,22719600
18000,24033400
18500,25999200
19000,26543200
19500,28210300
20000,29649700
20500,30661900
21000,32170800
21500,44732200
22000,46172100
22500,40862000
23000,53243900
23500,41716100
24000,42920800
24500,44444400
25000,46310300
25500,51374500
26000,49326400
26500,51735900
27000,56962400
27500,67955100
28000,67586100
28500,59965000
29000,71420700
29500,72858900
30000,69962400
30500,75388500
31000,75015200
31500,80809500
32000,82304700
32500,83336800
33000,79198900
33500,82492100
34000,84623000
34500,87842400
35000,91987600
35500,91979600
36000,95795200
36500,97040000
37000,107071700
37500,150326000
38000,123255200
38500,110491100
39000,115356600
39500,122334300
40000,116805800
40500,120272000
41000,128830800
41500,125686800
42000,127447200
42500,133984900
43000,135426700
43500,150469600
44000,143102700
44500,146588300
45000,159301800
45500,153323300
46000,155831000
46500,164137700
47000,167861900
47500,176738700
48000,182331800
48500,172780100
49000,176144800
49500,183754400
50000,189443100
