Size,Time
500,207400
1000,173400
1500,281800
2000,334900
2500,455800
3000,571300
3500,643000
4000,693900
4500,809400
5000,933900
5500,1064100
6000,1179400
6500,1236600
7000,1225900
7500,1241400
8000,1338400
8500,1398200
9000,1548000
9500,1624900
10000,1769100
10500,1842200
11000,1618400
11500,574700
12000,617000
12500,632600
13000,637000
13500,644100
14000,656700
14500,643400
15000,682700
15500,663300
16000,683000
16500,666600
17000,711600
17500,744000
18000,785800
18500,829300
19000,872200
19500,897200
20000,924800
20500,958900
21000,1052900
21500,1028300
22000,1058800
22500,1100800
23000,1146700
23500,1299600
24000,1254300
24500,1294500
25000,1284900
25500,1312000
26000,1140600
26500,287700
27000,303800
27500,304500
28000,305500
28500,304500
29000,308400
29500,311700
30000,322000
30500,329100
31000,333600
31500,341600
32000,339100
32500,345400
33000,360300
33500,366500
34000,373100
34500,372000
35000,379000
35500,387900
36000,394900
36500,484000
37000,402000
37500,409000
38000,415700
38500,420300
39000,432600
39500,438600
40000,447000
40500,457200
41000,460100
41500,467400
42000,475000
42500,485700
43000,486900
43500,501900
44000,596200
44500,507300
45000,510600
45500,518100
46000,521900
46500,530500
47000,533600
47500,542700
48000,541700
48500,555600
49000,558700
49500,576200
50000,567000
