Size,Time
100,40100
200,126000
300,750100
400,1741500
500,377300
600,332400
700,384700
800,498600
900,619500
1000,777400
1100,969400
1200,738000
1300,554900
1400,685700
1500,1240900
1600,927400
1700,1025200
1800,287000
1900,316100
2000,349200
2100,380100
2200,416100
2300,453900
2400,487900
2500,530000
2600,570000
2700,615400
2800,655900
2900,701100
3000,747400
3100,794100
3200,848200
3300,1004000
3400,946500
3500,1001800
3600,1403300
3700,1561200
3800,1335400
3900,1301200
4000,1378400
4100,1474600
4200,1531900
4300,1605400
4400,1659900
4500,1663500
4600,1721100
4700,1941400
4800,2072200
4900,2342700
5000,2273000
5100,2243100
5200,2291200
5300,2519300
5400,3384300
5500,3724700
5600,4605400
5700,3715800
5800,3322900
5900,3342000
6000,3227600
6100,3844400
6200,4389100
6300,5475200
6400,5376900
6500,4698200
6600,5420300
6700,5311200
6800,4877600
6900,5040700
7000,5037400
7100,5593200
7200,5901100
7300,6960100
7400,6828200
7500,6898400
7600,7270800
7700,6265500
7800,5157500
7900,5596500
8000,5705400
8100,5862300
8200,7530200
8300,8019800
8400,7087200
8500,7184600
8600,8822200
8700,8232900
8800,6557400
8900,7029500
9000,7917300
9100,9204600
9200,8890100
9300,8722700
9400,9257700
9500,9902000
9600,10445600
9700,10405400
9800,10696200
9900,11811200
10000,12790300
