Size,Time
100,29800
200,700
300,800
400,900
500,1100
600,1300
700,1500
800,3200
900,3000
1000,3500
1100,3100
1200,3200
1300,5100
1400,3100
1500,3200
1600,3400
1700,3600
1800,3800
1900,4000
2000,4300
2100,4400
2200,4600
2300,4900
2400,5100
2500,5300
2600,9900
2700,6500
2800,5800
2900,6300
3000,6000
3100,6200
3200,6400
3300,6600
3400,6700
3500,6900
3600,7200
3700,7400
3800,7600
3900,7700
4000,8000
4100,8100
4200,8300
4300,8500
4400,8700
4500,8900
4600,9100
4700,9300
4800,9500
4900,9800
5000,10400
5100,10600
5200,10900
5300,11100
5400,11200
5500,11500
5600,11700
5700,11900
5800,12100
5900,12300
6000,12600
6100,12700
6200,13000
6300,13200
6400,13300
6500,13600
6600,13800
6700,13900
6800,14100
6900,14400
7000,14600
7100,14800
7200,17400
7300,15400
7400,15400
7500,15700
7600,15900
7700,16200
7800,16300
7900,16800
8000,17700
8100,17800
8200,18100
8300,18400
8400,18500
8500,18800
8600,19000
8700,19200
8800,19500
8900,19700
9000,20000
9100,20200
9200,20300
9300,20600
9400,20800
9500,21100
9600,21200
9700,21400
9800,21600
9900,21800
10000,22200
