Size,Time
100,1200
200,1600
300,800
400,900
500,1100
600,1200
700,1300
800,1500
900,1700
1000,2000
1100,2000
1200,2200
1300,2500
1400,2600
1500,2800
1600,2900
1700,3200
1800,3300
1900,3500
2000,3700
2100,3800
2200,4000
2300,4100
2400,4300
2500,4500
2600,4700
2700,4900
2800,5000
2900,5400
3000,5400
3100,10000
3200,5900
3300,6700
3400,6700
3500,6400
3600,6500
3700,6700
3800,6900
3900,7000
4000,7200
4100,7300
4200,7600
4300,7800
4400,11800
4500,13400
4600,13100
4700,16700
4800,17000
4900,13300
5000,9100
5100,9000
5200,9000
5300,9200
5400,9300
5500,10200
5600,9800
5700,9900
5800,10000
5900,10100
6000,10300
6100,10500
6200,10600
6300,10800
6400,10900
6500,11100
6600,11300
6700,11400
6800,11700
6900,11800
7000,12800
7100,12200
7200,12300
7300,12400
7400,12600
7500,12800
7600,12900
7700,12600
7800,12700
7900,12900
8000,13200
8100,13300
8200,13900
8300,13700
8400,14200
8500,14000
8600,14100
8700,14200
8800,14500
8900,14600
9000,14800
9100,14900
9200,15000
9300,15200
9400,15400
9500,15600
9600,15700
9700,17200
9800,16000
9900,17000
10000,16300
