Size,Time
100,572300
200,292100
300,563800
400,78700
500,87500
600,191100
700,128000
800,119900
900,134700
1000,181600
1100,166900
1200,188700
1300,209800
1400,284800
1500,247100
1600,261200
1700,284000
1800,309100
1900,314600
2000,343200
2100,371400
2200,384600
2300,403800
2400,295200
2500,252500
2600,294500
2700,284400
2800,306800
2900,295800
3000,307900
3100,325600
3200,335900
3300,341800
3400,361500
3500,360000
3600,371200
3700,384400
3800,401100
3900,411600
4000,412500
4100,431100
4200,477800
4300,446700
4400,461600
4500,2663800
4600,585700
4700,587600
4800,543000
4900,633400
5000,717700
5100,612600
5200,630600
5300,633500
5400,787300
5500,753000
5600,753300
5700,767400
5800,722400
5900,745500
6000,750300
6100,761200
6200,755000
6300,745600
6400,764300
6500,887900
6600,796100
6700,865300
6800,874600
6900,904500
7000,963000
7100,958500
7200,997600
7300,1014300
7400,1011600
7500,1019300
7600,1082100
7700,1093500
7800,1094200
7900,1077300
8000,1220000
8100,1124900
8200,1425200
8300,990100
8400,1015500
8500,1123500
8600,1009200
8700,1155300
8800,1221600
8900,1223600
9000,1236800
9100,1224700
9200,1157300
9300,1146400
9400,1274300
9500,1610200
9600,1236100
9700,1261800
9800,1218600
9900,1161800
10000,1148300
