Size,Time
100,63100
200,35300
300,96900
400,121800
500,188200
600,266200
700,361000
800,470600
900,590600
1000,731800
1100,885200
1200,1031800
1300,1228900
1400,1359900
1500,1524400
1600,1757400
1700,2521800
1800,2440000
1900,2762600
2000,3569300
2100,3831100
2200,3921900
2300,3669400
2400,3783200
2500,3335100
2600,3245100
2700,3378200
2800,3676400
2900,3810500
3000,4242900
3100,5083800
3200,4773500
3300,5112400
3400,5670700
3500,5752600
3600,7630700
3700,7976700
3800,7043400
3900,7744100
4000,8762500
4100,8961600
4200,8478800
4300,8368600
4400,9062400
4500,9496700
4600,9855600
4700,10128500
4800,12363600
4900,11605700
5000,12743500
5100,13324200
5200,13398500
5300,14164100
5400,14345500
5500,14637900
5600,15211500
5700,15817800
5800,17228500
5900,17215500
6000,17860100
6100,19513900
6200,20009600
6300,19634600
6400,20519600
6500,22030600
6600,21172000
6700,21269800
6800,22031000
6900,22463200
7000,22977300
7100,24005000
7200,24176400
7300,25134000
7400,25674900
7500,26941800
7600,30733900
7700,33740300
7800,28901700
7900,29004100
8000,29681300
8100,31174200
8200,31113400
8300,32179200
8400,33146300
8500,33907900
8600,35091100
8700,37755800
8800,35550500
8900,38079800
9000,41472500
9100,44171200
9200,39320500
9300,41590200
9400,41916800
9500,43243700
9600,43246200
9700,43941200
9800,44536100
9900,48056600
10000,46860200
