Size,Time
10,3000
20,2900
30,4600
40,7700
50,14600
60,16700
70,21100
80,27300
90,33600
100,42000
110,50300
120,61500
130,68300
140,75400
150,81400
160,91000
170,104300
180,116500
190,142100
200,239000
210,85100
220,51000
230,71300
240,73400
250,49700
260,52700
270,57800
280,61100
290,67100
300,70500
310,74300
320,78400
330,85300
340,89300
350,95500
360,109000
370,159600
380,143900
390,119900
400,128000
410,131000
420,183200
430,141800
440,153400
450,158000
460,168400
470,173700
480,184200
490,188400
500,197900
