Size,Time
10,16800
20,6600
30,13800
40,27200
50,17100
60,36700
70,29300
80,32900
90,121700
100,30800
110,32500
120,35900
130,37900
140,66800
150,18400
160,19700
170,20000
180,19500
190,22700
200,24000
210,24300
220,25900
230,38200
240,29200
250,28100
260,46700
270,26200
280,26500
290,26000
300,39400
310,29400
320,40400
330,31000
340,32100
350,32000
360,35000
370,33600
380,35200
390,36700
400,37900
410,37900
420,39300
430,40900
440,53600
450,42300
460,42300
470,50200
480,45500
490,43500
500,46500
